情景,口径,变化站点数,M,M/M_base,相对改善%,M_per_event,是否ADD_FRACS节点
S2只减,空间置换,0,1232139.204594,1.0,0.0,274.485777,
S2只减,空间置换,1,1232139.204594,1.0,0.0,274.485777,
S2只减,空间置换,2,1232139.204594,1.0,0.0,274.485777,
S2只减,空间置换,3,1232139.204594,1.0,0.0,274.485777,
S2只减,空间置换,4,1232139.204594,1.0,0.0,274.485777,
S2只减,空间置换,5,1232135.305731,0.999997,0.0003,274.484908,
S2只减,空间置换,6,1232139.204594,1.0,0.0,274.485777,
S2只减,空间置换,7,1232139.204594,1.0,0.0,274.485777,
S2只减,空间置换,8,1232139.204594,1.0,0.0,274.485777,
S2只减,空间置换,9,1232139.204594,1.0,0.0,274.485777,1%
S2只减,空间置换,10,1232139.204594,1.0,0.0,274.485777,
S2只减,空间置换,11,1232138.081495,0.999999,0.0001,274.485527,
S2只减,空间置换,12,1232139.204594,1.0,0.0,274.485777,
S2只减,空间置换,13,1232139.204594,1.0,0.0,274.485777,
S2只减,空间置换,14,1232139.204594,1.0,0.0,274.485777,
S2只减,空间置换,15,1232139.204594,1.0,0.0,274.485777,
S2只减,空间置换,16,1232139.204594,1.0,0.0,274.485777,
S2只减,空间置换,17,1232139.204594,1.0,0.0,274.485777,
S2只减,空间置换,18,1232139.204594,1.0,0.0,274.485777,2%
S2只减,空间置换,19,1232138.194951,0.999999,0.0001,274.485552,
S2只减,空间置换,20,1232139.204594,1.0,0.0,274.485777,
S2只减,空间置换,21,1232135.305731,0.999997,0.0003,274.484908,
S2只减,空间置换,22,1232139.204594,1.0,0.0,274.485777,
S2只减,空间置换,23,1232139.204594,1.0,0.0,274.485777,
S2只减,空间置换,24,1232139.204594,1.0,0.0,274.485777,
S2只减,空间置换,25,1232139.204594,1.0,0.0,274.485777,
S2只减,空间置换,26,1232139.204594,1.0,0.0,274.485777,
S2只减,空间置换,27,1232139.204594,1.0,0.0,274.485777,
S2只减,空间置换,28,1232139.204594,1.0,0.0,274.485777,
S2只减,空间置换,29,1232139.204594,1.0,0.0,274.485777,
S2只减,空间置换,30,1232139.204594,1.0,0.0,274.485777,
S2只减,空间置换,31,1232139.204594,1.0,0.0,274.485777,
S2只减,空间置换,32,1232139.206585,1.0,-0.0,274.485777,
S2只减,空间置换,33,1232139.261892,1.0,-0.0,274.48579,
S2只减,空间置换,34,1232139.277019,1.0,-0.0,274.485793,
S2只减,空间置换,35,1232139.378435,1.0,-0.0,274.485816,
S2只减,空间置换,36,1232139.406605,1.0,-0.0,274.485822,
S2只减,空间置换,37,1232139.649092,1.0,-0.0,274.485876,
S2只减,空间置换,38,1232139.725664,1.0,-0.0,274.485893,
S2只减,空间置换,39,1232139.843428,1.000001,-0.0001,274.485919,
S2只减,空间置换,40,1232169.501053,1.000025,-0.0025,274.492526,
S2只减,空间置换,41,1232169.532496,1.000025,-0.0025,274.492533,
S2只减,空间置换,42,1232169.532496,1.000025,-0.0025,274.492533,
S2只减,空间置换,43,1232169.552999,1.000025,-0.0025,274.492538,
S2只减,空间置换,44,1232068.626977,0.999943,0.0057,274.470054,5%
S2只减,空间置换,45,1232210.133494,1.000058,-0.0058,274.501578,
S2只减,空间置换,46,1232100.779612,0.999969,0.0031,274.477217,
S2只减,空间置换,47,1232260.56239,1.000098,-0.0098,274.512812,
S2只减,空间置换,48,1231183.558575,0.999224,0.0776,274.272886,
S2只减,空间置换,49,1230126.866893,0.998367,0.1633,274.037485,
S2只减,空间置换,50,1230325.519823,0.998528,0.1472,274.081739,
S2只减,空间置换,51,1230439.130587,0.99862,0.138,274.107049,
S2只减,空间置换,52,1230475.23029,0.99865,0.135,274.115091,
S2只减,空间置换,53,1230620.581719,0.998767,0.1233,274.147471,
S2只减,空间置换,54,1230615.065676,0.998763,0.1237,274.146242,
S2只减,空间置换,55,1230543.149684,0.998705,0.1295,274.130221,
S2只减,空间置换,56,1230745.802044,0.998869,0.1131,274.175366,
S2只减,空间置换,57,1230744.868683,0.998868,0.1132,274.175158,
S2只减,空间置换,58,1230746.489767,0.99887,0.113,274.17552,
S2只减,空间置换,59,1230745.777783,0.998869,0.1131,274.175361,
S2只减,空间置换,60,1230941.6331,0.999028,0.0972,274.218992,
S2只减,空间置换,61,1231136.235205,0.999186,0.0814,274.262344,
S2只减,空间置换,62,1231337.30102,0.999349,0.0651,274.307136,
S2只减,空间置换,63,1231363.037749,0.99937,0.063,274.312869,
S2只减,空间置换,64,1231363.586134,0.999371,0.0629,274.312991,
S2只减,空间置换,65,1231339.289342,0.999351,0.0649,274.307579,
S2只减,空间置换,66,1231338.672328,0.99935,0.065,274.307441,
S2只减,空间置换,67,1231340.103444,0.999351,0.0649,274.30776,
S2只减,空间置换,68,1231339.166971,0.999351,0.0649,274.307551,
S2只减,空间置换,69,1231365.36806,0.999372,0.0628,274.313388,
S2只减,空间置换,70,1231365.468467,0.999372,0.0628,274.313411,
S2只减,空间置换,71,1233921.920962,1.001447,-0.1447,274.882916,
S2只减,空间置换,72,1234180.743986,1.001657,-0.1657,274.940574,
S2只减,空间置换,73,1234157.752754,1.001638,-0.1638,274.935453,
S2只减,空间置换,74,1234158.365889,1.001639,-0.1639,274.935589,
S2只减,空间置换,75,1234183.026946,1.001659,-0.1659,274.941083,
S2只减,空间置换,76,1234182.204725,1.001658,-0.1658,274.9409,
S2只减,空间置换,77,1234200.798778,1.001673,-0.1673,274.945042,
S2只减,空间置换,78,1234200.900579,1.001673,-0.1673,274.945065,
S2只减,空间置换,79,1234202.493003,1.001675,-0.1675,274.945419,
S2只减,空间置换,80,1234428.324443,1.001858,-0.1858,274.995728,
S2只减,空间置换,81,1234551.133852,1.001958,-0.1958,275.023087,
S2只减,空间置换,82,1233984.255593,1.001497,-0.1497,274.896802,
S2只减,空间置换,83,1230840.141149,0.998946,0.1054,274.196382,
S2只减,空间置换,84,1231008.217949,0.999082,0.0918,274.233825,
S2只减,空间置换,85,1230278.663405,0.99849,0.151,274.071301,
S2只减,空间置换,86,1230519.700741,0.998686,0.1314,274.124997,
S2只减,空间置换,87,1230760.92244,0.998881,0.1119,274.178735,
S2只减,空间置换,88,1231190.252804,0.99923,0.077,274.274377,10%
S2只减,时间排队,0,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,1,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,2,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,3,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,4,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,5,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,6,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,7,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,8,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,9,716578.316922,1.0,0.0,159.633388,1%
S2只减,时间排队,10,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,11,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,12,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,13,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,14,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,15,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,16,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,17,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,18,716578.316922,1.0,0.0,159.633388,2%
S2只减,时间排队,19,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,20,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,21,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,22,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,23,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,24,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,25,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,26,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,27,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,28,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,29,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,30,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,31,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,32,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,33,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,34,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,35,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,36,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,37,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,38,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,39,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,40,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,41,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,42,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,43,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,44,716578.316922,1.0,0.0,159.633388,5%
S2只减,时间排队,45,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,46,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,47,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,48,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,49,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,50,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,51,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,52,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,53,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,54,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,55,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,56,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,57,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,58,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,59,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,60,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,61,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,62,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,63,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,64,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,65,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,66,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,67,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,68,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,69,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,70,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,71,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,72,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,73,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,74,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,75,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,76,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,77,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,78,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,79,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,80,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,81,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,82,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,83,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,84,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,85,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,86,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,87,716578.316922,1.0,0.0,159.633388,
S2只减,时间排队,88,716578.316922,1.0,0.0,159.633388,10%
